Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"1964","Athletics Men 4 x 400 metres relay","United States","United States","Great Britain","Great Britain","Trinidad and Tobago","Trinidad and Tobago"
"1964","Athletics Men 400 metres","Mike Larrabee","United States","Wendell Mottley","Trinidad and Tobago","Andrzej Bade_ski","Poland"
"1964","Athletics Men 400 metres hurdles","Rex Cawley","United States","John Cooper","Great Britain","Salvatore Morale","Italy"
"1964","Athletics Men 50 kilometres walk","Abdon Pamich","Italy","Paul Nihill","Great Britain","Ingvar Pettersson","Sweden"
"1964","Athletics Men 5000 metres","Bob Schul","United States","Harald Norpoth","Germany","Bill Dellinger","United States"
"1964","Athletics Men 800 metres","Peter Snell","New Zealand","Bill Crothers","Canada","Wilson Kiprugut","Kenya"
"1964","Athletics Men decathlon","Willi Holdorf","Germany","Rein Aun","Soviet Union","Hans-Joachim Walde","Germany"
"1964","Athletics Men discus throw","Al Oerter","United States","Ludv_k Dan_k","Czechoslovakia","Dave Weill","United States"
"1964","Athletics Men hammer throw","Romuald Klim","Soviet Union","Gyula Zsiv_tzky","Hungary","Uwe Beyer","Germany"
"1964","Athletics Men high jump","Valery Brumel","Soviet Union","John Thomas","United States","John Rambo","United States"
"1964","Athletics Men javelin throw","Pauli Nevala","Finland","Gergely Kulcs_r","Hungary","J_nis L_sis","Soviet Union"
"1964","Athletics Men long jump","Lynn Davies","Great Britain","Ralph Boston","United States","Igor Ter-Ovanesyan","Soviet Union"
"1964","Athletics Men marathon","Abebe Bikila","Ethiopia","Basil Heatley","Great Britain","Kokichi Tsuburaya","Japan"
